,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,demande,request
7,genre,kind
8,mois,month
9,laisser,let
10,car,because
11,mettre,to put
12,laisse,leash
13,eux,them
14,ville,city
15,chaque,each
16,parlé,speak
17,devrait,should
18,bébé,baby
19,longtemps,long time
20,heures,hours
21,pendant,while
22,revoir,meet again
23,aucune,any
24,place,square
25,parle,speak
26,compris,understood
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,pourrais,could
32,affaire,case
33,donner,give
34,type,type
35,leurs,their
36,donné,given
37,corps,body
38,endroit,place
39,yeux,eyes
40,façon,way
41,écoute,listen
42,trouve,find
43,premier,first
44,perdu,lost
45,main,hand
46,première,first
47,côté,side
48,vieux,old
49,sois,be
50,tiens,here
51,matin,morning
52,tellement,so much
53,enfant,child
54,venu,came
55,suite,after
56,pardon,sorry
57,venez,come
58,devant,in front of
59,vers,towards
60,minutes,minutes
61,demandé,request
62,chambre,bedroom
63,mis,placed
64,belle,beautiful
65,droit,law
66,aimerais,would like to
67,aujourd'hui,today
68,mari,husband
69,enfin,finally
70,espère,hope
71,eau,water
72,parti,left
73,nouvelle,new
74,boulot,job
75,arrêter,Stop
76,dirait,would say
77,terre,Earth
78,compte,account
79,donne,given
80,loin,far
81,fin,end
82,croire,believe
83,chérie,sweetheart
84,plutôt,rather
85,aura,will have
86,jouer,to play
